"","x"
"1","5"
"2","5"
"3","5"
"4","3"
"5","4"
"6","4"
"7","4"
"8","5"
"9","5"
"10","5"
"11","5"
"12","4"
"13","4"
"14","5"
"15","5"
"16","4"
"17","3"
"18","4"
"19","4"
"20","3"
"21","4"
"22","3"
"23","2"
"24","3"
"25","3"
"26","4"
"27","3"
"28","3"
"29","3"
"30","2"
"31","1"
"32","2"
"33","1"
"34","1"
"35","1"
"36","1"
"37","1"
"38","1"
"39","1"
"40","1"
